OpSys_No OS,company_MSI,CPU_BRAND_AMD,CPU_BRAND_Intel,GPU_BRAND_Intel,GPU_BRAND_AMD,company_Acer,Weight,Memory_Type_Flash,typeName_Workstation,typeName_Ultrabook,GPU_BRAND_Nvidia,typeName_Gaming,Memory_Type_HDD,CPU_FREQUENCY,Memory_Type_SSD,typeName_Notebook,ScreenHeight,ScreenWidth,Ram,Price_euros
1,0,0,1,1,0,0,1.86,0,0,0,0,0,1,1.6,0,1,768,1366,4,259.0
0,0,0,1,1,0,0,1.63,0,0,0,0,0,1,1.6,0,1,1080,1920,8,812.0
0,0,1,0,0,1,0,1.65,0,0,0,0,0,0,1.5,1,1,768,1366,4,277.99
0,0,0,1,0,1,0,2.8,0,0,0,0,0,0,1.8,1,1,1080,1920,16,1396.0
0,0,0,1,1,0,0,2.5,0,0,0,0,0,0,1.6,1,1,1080,1920,8,928.0
0,0,0,1,0,1,0,2.36,0,0,0,0,0,1,2.5,0,1,768,1366,8,638.99
0,0,0,1,0,1,0,2.2,0,0,0,0,0,1,2.0,0,1,1080,1920,4,449.0
0,0,0,1,1,0,1,1.6,0,0,1,0,0,0,1.8,1,0,1080,1920,8,884.0
0,0,0,1,0,0,1,2.2,0,0,0,1,0,0,2.7,1,1,1080,1920,4,572.0
0,0,0,1,1,0,0,2.05,0,0,0,0,0,1,2.7,0,1,768,1366,8,598.0
0,0,0,1,1,0,0,1.63,0,0,0,0,0,0,1.8,1,1,1080,1920,8,988.0
1,0,0,1,1,0,0,1.9,0,0,0,0,0,1,1.1,0,1,768,1366,4,252.36
0,0,0,1,0,0,0,3.0,0,0,0,1,1,0,2.5,1,0,1080,1920,8,938.0
1,0,0,1,0,0,0,2.2,0,0,0,1,0,1,2.5,0,1,1080,1920,4,499.0
0,0,0,1,1,0,0,1.32,0,0,0,0,0,0,2.5,1,1,1080,1920,4,699.0
0,0,0,1,0,0,1,3.0,0,0,0,1,0,1,2.7,0,1,1080,1920,4,655.0
0,0,0,1,0,1,0,1.75,0,0,0,0,0,0,1.6,1,1,1080,1920,8,1116.02
1,0,0,1,0,0,0,2.4,0,0,0,1,1,0,2.8,1,0,1080,1920,8,869.0
0,0,0,1,1,0,0,2.1,0,0,0,0,0,1,2.3,0,1,768,1366,4,602.0
0,0,1,0,0,1,0,1.86,0,0,0,0,0,0,2.5,1,1,768,1366,4,369.0
0,0,0,1,1,0,0,1.25,0,0,1,0,0,0,1.8,1,0,1080,1920,8,1099.0
0,0,0,1,1,0,0,0.97,0,0,1,0,0,0,1.2,1,0,2160,3840,8,2014.0
0,0,0,1,1,0,0,2.0,0,0,0,0,0,1,1.1,0,1,1080,1920,4,344.0
0,1,0,1,0,0,0,2.9,0,0,0,1,1,0,2.8,1,0,1080,1920,16,2029.0
0,0,0,1,1,0,1,2.1,0,0,0,0,0,1,2.0,0,1,768,1366,4,447.0
0,0,0,1,0,0,0,2.56,0,0,0,1,1,0,2.8,1,0,1080,1920,16,1249.26
0,0,0,1,0,0,0,2.62,0,0,0,1,1,0,2.8,0,0,1080,1920,8,899.0
0,0,0,1,1,0,0,1.9,0,0,0,0,0,0,2.5,1,1,768,1366,4,498.0
0,1,0,1,0,0,0,2.8,0,0,0,1,1,0,2.8,1,0,1080,1920,16,1890.0
0,0,0,1,1,0,0,1.48,0,0,1,0,0,0,2.7,1,0,1080,1920,4,1082.0
0,0,0,1,0,1,0,1.91,0,0,0,0,0,0,1.6,1,1,1080,1920,6,619.0
0,0,0,1,1,0,0,1.74,0,0,0,0,0,0,2.4,1,0,1080,1920,4,629.0
0,0,0,1,1,0,0,1.1,0,0,0,0,0,0,1.6,1,0,1080,1920,8,1315.0
0,0,0,1,1,0,0,1.56,0,0,0,0,0,0,1.8,1,0,1080,1920,8,1049.0
0,0,0,1,1,0,0,2.1,0,0,0,0,0,1,2.2,0,1,768,1366,4,447.0
0,0,1,0,0,1,0,2.03,0,0,0,0,0,1,3.0,0,1,768,1366,4,403.0
0,0,0,1,0,0,1,3.0,0,0,0,1,0,0,1.6,1,1,1080,1920,4,805.0
0,0,0,1,0,1,0,2.13,0,0,0,0,0,0,1.6,1,1,1080,1920,8,728.0
0,0,0,1,0,0,0,2.5,0,0,0,1,1,0,2.8,1,0,1080,1920,16,1079.0
0,0,0,1,1,0,1,2.1,0,0,0,0,0,1,1.1,0,1,768,1366,4,348.0
0,1,0,1,0,0,0,2.4,0,0,0,1,1,0,2.8,1,0,1080,1920,16,1799.0
0,0,0,1,1,0,1,2.1,0,0,0,0,0,1,1.1,0,1,768,1366,4,363.51
0,0,0,1,0,0,0,2.56,0,0,0,1,1,0,2.8,1,0,1080,1920,8,1060.49
0,0,0,1,0,0,1,3.0,0,0,0,1,0,0,1.6,1,1,1080,1920,8,854.0
0,0,0,1,1,0,0,1.49,0,0,0,0,0,1,1.6,0,1,1080,1920,4,754.0
0,0,0,1,1,0,0,1.05,0,0,1,0,0,0,2.5,1,0,1440,2160,8,1349.0
0,0,0,1,0,1,0,2.71,0,0,0,0,0,1,2.5,0,1,1080,1920,6,699.0
1,0,1,0,0,1,0,2.2,0,0,0,0,0,1,2.9,0,1,768,1366,4,309.0
0,0,0,1,1,0,0,2.0,0,0,0,0,0,1,2.4,0,1,768,1366,4,489.0
0,0,0,1,0,0,0,2.5,0,0,0,1,0,0,1.6,1,1,1080,1920,8,923.0
0,0,0,1,1,0,0,2.3,0,0,0,0,0,1,2.4,0,1,768,1366,8,459.0
0,0,0,1,1,0,1,2.1,0,0,0,0,0,0,2.0,1,1,768,1366,4,449.0
0,1,0,1,0,0,0,4.4,0,0,0,1,1,0,2.9,1,0,1080,1920,32,2799.0
0,0,0,1,0,1,0,1.9,0,0,0,0,0,0,2.5,1,1,1080,1920,8,813.0
0,0,0,1,1,0,0,1.29,0,0,0,0,0,0,1.6,1,0,2160,3840,8,1499.0
0,0,0,1,0,1,0,2.02,0,0,0,0,0,0,1.8,1,1,1080,1920,16,1049.0
0,0,0,1,1,0,0,1.23,0,0,1,0,0,0,1.6,1,0,1080,1920,8,1399.0
0,0,0,1,1,0,0,1.4,0,0,0,0,0,0,1.8,1,0,2160,3840,16,1849.0
0,0,0,1,1,0,0,2.0,0,0,0,0,0,0,2.5,1,1,768,1366,8,793.0
